Dist,First,Last,Party,2023 PVI,2023 Raw PVI,Rank
IL-17@@150,Eric,Sorensen,D,D+2@@196,D+1.91,196
IN-01@@151,Frank,Mrvan,D,D+3@@188,D+2.77,188
IN-02@@152,Rudy,Yakym,R,R+14@@336,R+13.95,336
IN-03@@153,Jim,Banks,R,R+18@@379,R+17.97,379
IN-04@@154,Jim,Baird,R,R+18@@376,R+17.72,376
IN-05@@155,Victoria,Spartz,R,R+11@@303,R+11.21,303
IN-06@@156,Greg,Pence,R,R+19@@389,R+19.18,389
IN-07@@157,André,Carson,D,D+19@@69,D+18.95,69
IN-08@@158,Larry,Bucshon,R,R+19@@388,R+19.03,388
IN-09@@159,Erin,Houchin,R,R+16@@361,R+16.18,361
IA-01@@160,Mariannette,Miller-Meeks,R,R+3@@236,R+3.49,236
IA-02@@161,Ashley,Hinson,R,R+4@@241,R+4.28,241
IA-03@@162,Zach,Nunn,R,R+3@@228,R+2.52,228
IA-04@@163,Randy,Feenstra,R,R+16@@354,R+15.52,354
KS-01@@164,Tracey,Mann,R,R+18@@378,R+17.87,378
KS-02@@165,Jake,LaTurner,R,R+11@@296,R+10.78,296
KS-03@@166,Sharice,Davids,D,R+1@@217,R+1,217
KS-04@@167,Ron,Estes,R,R+14@@338,R+13.99,338
KY-01@@168,James,Comer,R,R+24@@422,R+24.02,422
KY-02@@169,Brett,Guthrie,R,R+21@@402,R+21.15,402
KY-03@@170,Morgan,McGarvey,D,D+9@@136,D+8.6,136
KY-04@@171,Thomas,Massie,R,R+19@@392,R+19.33,392
KY-05@@172,Hal,Rogers,R,R+32@@434,R+32.24,434
KY-06@@173,Andy,Barr,R,R+9@@278,R+8.52,278
LA-01@@174,Steve,Scalise,R,R+23@@416,R+22.76,416
LA-02@@175,Troy,Carter,D,D+25@@38,D+24.91,38
LA-03@@176,Clay,Higgins,R,R+21@@405,R+21.25,405
LA-04@@177,Mike,Johnson,R,R+14@@340,R+14.15,340
LA-05@@178,Julia,Letlow,R,R+17@@371,R+16.97,371
LA-06@@179,Garret,Graves,R,R+19@@394,R+19.48,394
ME-01@@180,Chellie,Pingree,D,D+9@@133,D+8.76,133
ME-02@@181,Jared,Golden,D,R+6@@249,R+5.57,249
MD-01@@182,Andy,Harris,R,R+11@@295,R+10.6,295
MD-02@@183,Dutch,Ruppersberger,D,D+7@@145,D+7.47,145
MD-03@@184,John,Sarbanes,D,D+10@@128,D+9.62,128
MD-04@@185,Glenn,Ivey,D,D+40@@2,D+39.51,2
MD-05@@186,Steny,Hoyer,D,D+15@@90,D+15.08,90
MD-06@@187,David,Trone,D,D+2@@195,D+1.97,195
MD-07@@188,Kweisi,Mfume,D,D+30@@18,D+30.11,18
MD-08@@189,Jamie,Raskin,D,D+29@@21,D+29.49,21
MA-01@@190,Richard,Neal,D,D+9@@135,D+8.68,135
MA-02@@191,Jim,McGovern,D,D+13@@108,D+13.08,108
MA-03@@192,Lori,Trahan,D,D+11@@120,D+11.41,120
MA-04@@193,Jake,Auchincloss,D,D+12@@114,D+11.94,114
MA-05@@194,Katherine,Clark,D,D+23@@46,D+23.35,46
MA-06@@195,Seth,Moulton,D,D+11@@122,D+11.01,122
MA-07@@196,Ayanna,Pressley,D,D+35@@9,D+35,9
