OID_CD118_20|GEOID_CD118_20|NAMELSAD_CD118_20|AREALAND_CD118_20|AREAWATER_CD118_20|MTFCC_CD118_20|FUNCSTAT_CD118_20|OID_SDCOMBO_20|GEOID_SDCOMBO_20|NAMELSAD_SDCOMBO_20|AREALAND_SDCOMBO_20|AREAWATER_SDCOMBO_20|MTFCC_SDCOMBO_20|FUNCSTAT_SDCOMBO_20|AREALAND_PART|AREAWATER_PART
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490691730336|0504410|Clinton School District|1225675179|19856539|G5420|E|1183279895|19842614
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490295054898|0504560|Concord Public Schools|526348600|453874|G5420|E|464470128|400714
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490306329040|0504590|Conway Public Schools|302884235|21126121|G5420|E|302884235|21126121
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490299274793|0504930|Dardanelle Public Schools|456424558|23284968|G5420|E|30784416|317800
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490326676350|0505580|East End School District|263779542|12124720|G5420|E|263779542|12124720
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490307810462|0506420|Fountain Lake School District|473579292|6880910|G5420|E|251191561|4155050
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490311060652|0506630|Glen Rose School District|195337354|217263|G5420|E|74701350|144955
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490299274799|0506900|Greenbrier School District|365418177|664145|G5420|E|365418177|664145
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490306329041|0507140|Guy-Perkins Schools|121015531|29173|G5420|E|121015531|29173
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|284901930864010|0507320|Harmony Grove School District|56675365|118861|G5420|E|56675365|118861
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490295054899|0507560|Heber Springs School District|179597702|15523510|G5420|E|179597702|15523510
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490307810464|0507920|Jessieville School District|514063788|8413840|G5420|E|15777385|0
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490407493477|0508400|Riverview School District|473964600|6719994|G5420|E|473964600|6719994
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490330146784|0509000|Little Rock School District|248757719|7772630|G5420|E|225841384|7599271
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490693192632|0509480|Searcy County School District|1411827752|3779134|G5420|E|88894977|127975
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490306329042|0509540|Mayflower School District|196952815|20895422|G5420|E|196952815|20895422
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490306329043|0510080|Mount Vernon-Enola School District|276491309|231824|G5420|E|276491309|231824
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490299274802|0510410|Nemo Vista School District|274880034|1264974|G5420|E|274880034|1264974
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490330146785|0510680|North Little Rock School District|69693031|4780199|G5420|E|62561036|4213216
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490295054901|0511070|Pangburn School District|274549394|0|G5420|E|274549394|0
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490299274806|0511340|Perryville School District|1026396772|12092731|G5420|E|1026396772|12092731
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490306329044|0511850|Pulaski County Special School District|1523966394|114985568|G5420|E|916351094|69106241
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490295054902|0511880|Quitman School District|409315114|1554942|G5420|E|409315114|1554942
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490295054903|0512000|Rose Bud School District|301660542|596134|G5420|E|301660542|596134
2119031807777898|0502|Congressional District 2|13731168944|361751718|G5200|N|28490295054904|0512210|Searcy School District|418323298|1029255|G5420|E|418323298|1029255
